Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Quarter
17-08-2021,71.533333,72.166664,69.800003,70.466667,58.601456,25693791,17,8,2021,Q3
16-08-2021,69.833336,71.633331,69.533333,71.466667,59.433071,32819128,16,8,2021,Q3
13-08-2021,69.333336,70,69.166664,69.766663,58.019314,10050325,13,8,2021,Q3
12-08-2021,69.766663,70.333336,69.166664,69.400002,57.714394,13442644,12,8,2021,Q3
11-08-2021,68.533333,69.966667,68.199997,69.766663,58.019314,16287054,11,8,2021,Q3
10-08-2021,69.933334,69.933334,67.933334,68.166664,56.688728,12318604,10,8,2021,Q3
09-08-2021,70.800003,70.966667,69.300003,69.599998,57.880718,12460222,9,8,2021,Q3
06-08-2021,69.300003,70.833336,69.199997,70.599998,58.712334,13803814,6,8,2021,Q3
05-08-2021,69.666664,69.866669,68.366669,69.300003,57.631237,20246398,5,8,2021,Q3
04-08-2021,71,71.666664,69.933334,70.199997,57.548065,17376739,4,8,2021,Q3
03-08-2021,70.666664,71,70.199997,70.766663,58.012608,15159726,3,8,2021,Q3
02-08-2021,69.666664,70.566666,69.099998,70.333336,57.657372,19968907,2,8,2021,Q3
30-07-2021,69.5,70.866669,68.599998,68.766663,56.373058,39367890,30,7,2021,Q3
29-07-2021,69.5,69.666664,68.800003,69.266663,56.782948,15139800,29,7,2021,Q3
28-07-2021,69.333336,69.833336,68.73333,69.333336,56.837601,13733836,28,7,2021,Q3
27-07-2021,69.833336,70.23333,68.833336,69.300003,56.81028,11591373,27,7,2021,Q3
26-07-2021,70.666664,70.833336,69.666664,69.766663,57.192825,10937572,26,7,2021,Q3
23-07-2021,71.133331,71.466667,70.300003,70.666664,57.93063,10996716,23,7,2021,Q3
22-07-2021,71,71.333336,70.133331,71.133331,58.313187,16258848,22,7,2021,Q3
20-07-2021,70.73333,71.199997,69.699997,70.400002,57.712025,19243816,20,7,2021,Q3
19-07-2021,70.5,71.933334,70.066666,70.633331,57.903301,17532862,19,7,2021,Q3
16-07-2021,70.699997,71.599998,70.300003,70.73333,57.985279,11793582,16,7,2021,Q3
15-07-2021,71.333336,71.5,70.766663,70.866669,58.094585,11451739,15,7,2021,Q3
14-07-2021,71.699997,72.099998,71.099998,71.400002,58.531796,9119790,14,7,2021,Q3
13-07-2021,71.566666,72.066666,71.23333,71.866669,58.91436,11227437,13,7,2021,Q3
12-07-2021,71.566666,72.199997,71.23333,71.466667,58.586445,9438729,12,7,2021,Q3
09-07-2021,71.699997,71.73333,71.033333,71.533333,58.641098,10924398,9,7,2021,Q3
08-07-2021,71.966667,72.73333,71.566666,71.699997,58.777725,14297863,8,7,2021,Q3
07-07-2021,71.766663,72.266663,71.433334,71.966667,58.99633,11177004,7,7,2021,Q3
06-07-2021,72.466667,72.933334,72.133331,72.266663,59.242268,9301320,6,7,2021,Q3
05-07-2021,72.966667,72.966667,72.300003,72.533333,59.460876,9305578,5,7,2021,Q3
02-07-2021,71.833336,73.166664,71.833336,72.300003,59.269592,17907844,2,7,2021,Q3
01-07-2021,71.933334,72.633331,71.566666,71.699997,58.777725,13216218,1,7,2021,Q3
